Polish,English
jest,is
to,this
i,and
a,"he, she, it (nom.)"
dla,for
być,to be
ona,she (nom.)
ty,you (sg. familiar)
or,or
co,what
u,at (someone's place)
mogę,I can
ten,this (masc. sg. nom.)
ona,she (acc.)
móc,can
chcieć,to want
robić,to do
dobry,good
bardzo,very
powiedzieć,to mean
powiedzieć,to think
powiedzieć,to look
powiedzieć,to show
powiedzieć,to understand
powiedzieć,to live
powiedzieć,to love
powiedzieć,to see
powiedzieć,to eat
powiedzieć,to drink
powiedzieć,to be able to
powiedzieć,to happen
